msme_id,month,sales,customers,orders
MSME001,2024-01,371714.2,295,314
MSME001,2024-02,393910.12,469,490
MSME001,2024-03,401160.06,215,256
MSME001,2024-04,389686.33,334,352
MSME001,2024-05,430061.11,236,268
MSME001,2024-06,431297.63,273,329
MSME001,2024-07,474964.36,316,341
MSME001,2024-08,457206.09,245,259
MSME001,2024-09,459689.7,445,503
MSME001,2024-10,514191.17,541,591
MSME001,2024-11,591810.71,290,335
MSME001,2024-12,588138.82,409,483
MSME001,2025-01,500216.87,348,409
MSME001,2025-02,532599.56,422,451
MSME001,2025-03,522989.61,469,501
MSME001,2025-04,552949.95,422,491
MSME001,2025-05,603764.51,600,707
MSME001,2025-06,608635.07,355,389
MSME001,2025-07,597127.97,339,383
MSME001,2025-08,625256.57,612,732
MSME001,2025-09,617948.52,456,507
MSME001,2025-10,685135.55,440,490
MSME001,2025-11,770480.95,614,745
MSME001,2025-12,813271.56,762,869
MSME002,2024-01,139003.57,120,145
MSME002,2024-02,151801.26,135,148
MSME002,2024-03,152222.88,89,97
MSME002,2024-04,152050.43,80,95
MSME002,2024-05,160325.17,185,201
MSME002,2024-06,169277.19,172,193
MSME002,2024-07,173447.3,104,118
MSME002,2024-08,170879.98,151,166
MSME002,2024-09,158994.85,167,200
MSME002,2024-10,175453.56,95,103
MSME002,2024-11,192390.28,101,109
MSME002,2024-12,217503.97,156,182
MSME002,2025-01,168178.06,87,99
MSME002,2025-02,167607.29,146,162
MSME002,2025-03,180921.16,102,110
MSME002,2025-04,180378.18,139,153
MSME002,2025-05,205039.55,121,145
MSME002,2025-06,200247.79,239,269
MSME002,2025-07,209906.23,204,244
MSME002,2025-08,196483.94,210,221
MSME002,2025-09,199271.91,166,184
MSME002,2025-10,215671.6,109,123
MSME002,2025-11,235668.62,265,298
MSME002,2025-12,279361.94,145,161
MSME003,2024-01,710613.48,619,715
MSME003,2024-02,790167.23,550,668
MSME003,2024-03,877145.41,437,520
MSME003,2024-04,825401.44,921,1007
MSME003,2024-05,919530.57,569,613
MSME003,2024-06,994532.02,496,582
MSME003,2024-07,969426.79,645,740
MSME003,2024-08,997435.08,543,628
MSME003,2024-09,1064046.12,930,1043
MSME003,2024-10,1127255.88,550,652
MSME003,2024-11,1213091.74,987,1029
MSME003,2024-12,1373265.13,851,901
MSME003,2025-01,1135619.32,773,894
MSME003,2025-02,1199849.1,733,840
MSME003,2025-03,1274553.02,718,838
MSME003,2025-04,1217314.35,1056,1261
MSME003,2025-05,1450609.71,1411,1670
MSME003,2025-06,1500799.52,765,903
MSME003,2025-07,1443267.16,887,928
MSME003,2025-08,1524757.79,1461,1777
MSME003,2025-09,1605594.48,1738,1900
MSME003,2025-10,1556074.78,1135,1238
MSME003,2025-11,1752499.36,1777,1905
MSME003,2025-12,2092031.3,1159,1383
MSME004,2024-01,99329.42,85,96
MSME004,2024-02,105566.06,52,60
MSME004,2024-03,104701.12,129,144
MSME004,2024-04,107406.03,111,132
MSME004,2024-05,113670.68,58,64
MSME004,2024-06,112131.86,63,71
MSME004,2024-07,116007.3,134,161
MSME004,2024-08,116038.51,63,74
MSME004,2024-09,116674.91,80,85
MSME004,2024-10,136019.3,103,118
MSME004,2024-11,140722.27,93,99
MSME004,2024-12,139683.16,123,144
MSME004,2025-01,116169.76,61,73
MSME004,2025-02,118803.66,74,88
MSME004,2025-03,136071.08,110,131
MSME004,2025-04,131100.2,128,149
MSME004,2025-05,134198.2,133,162
MSME004,2025-06,136905.39,127,153
MSME004,2025-07,143965.99,87,99
MSME004,2025-08,144123.55,108,115
MSME004,2025-09,136754.25,155,183
MSME004,2025-10,165813.08,153,170
MSME004,2025-11,164068.59,190,218
MSME004,2025-12,177656.31,205,219
MSME005,2024-01,530248.52,258,309
MSME005,2024-02,566123.09,320,334
MSME005,2024-03,568412.46,332,365
MSME005,2024-04,579071.42,611,683
MSME005,2024-05,632356.97,341,385
MSME005,2024-06,650654.79,398,464
MSME005,2024-07,675384.23,484,551
MSME005,2024-08,742365.2,586,672
MSME005,2024-09,693975.11,569,621
MSME005,2024-10,759692.52,413,436
MSME005,2024-11,889830.75,751,839
MSME005,2024-12,985182.02,648,695
MSME005,2025-01,767227.07,473,550
MSME005,2025-02,837098.25,832,907
MSME005,2025-03,847099.93,513,616
MSME005,2025-04,918282.02,1101,1158
MSME005,2025-05,925938.58,492,528
MSME005,2025-06,1019299.17,608,653
MSME005,2025-07,973876.84,898,995
MSME005,2025-08,1008678.51,618,732
MSME005,2025-09,1077788.26,718,811
MSME005,2025-10,1146318.43,693,744
MSME005,2025-11,1307952.33,914,962
MSME005,2025-12,1398387.69,1404,1687
MSME006,2024-01,229251.33,184,198
MSME006,2024-02,239177.54,212,224
MSME006,2024-03,243314.01,213,244
MSME006,2024-04,239286.08,230,274
MSME006,2024-05,263510.87,195,223
MSME006,2024-06,275025.51,200,210
MSME006,2024-07,270395.91,192,220
MSME006,2024-08,283012.47,181,190
MSME006,2024-09,272198.99,151,166
MSME006,2024-10,267668.09,182,199
MSME006,2024-11,310485.32,242,259
MSME006,2024-12,322280.31,236,268
MSME006,2025-01,281340.12,152,164
MSME006,2025-02,270614.88,142,151
MSME006,2025-03,290562.2,149,179
MSME006,2025-04,295878.49,350,370
MSME006,2025-05,317464.76,276,329
MSME006,2025-06,322293.1,333,351
MSME006,2025-07,334686.19,371,452
MSME006,2025-08,340675.96,232,249
MSME006,2025-09,309927.96,157,190
MSME006,2025-10,361632.49,195,210
MSME006,2025-11,393101.25,200,242
MSME006,2025-12,401498.21,427,479
MSME007,2024-01,1185279.95,799,851
MSME007,2024-02,1146024.71,644,760
MSME007,2024-03,1207183.87,780,815
MSME007,2024-04,1167058.33,1392,1536
MSME007,2024-05,1328339.79,730,794
MSME007,2024-06,1394528.8,1472,1741
MSME007,2024-07,1343743.21,1038,1116
MSME007,2024-08,1405912.55,888,1057
MSME007,2024-09,1471577.18,1286,1427
MSME007,2024-10,1583224.67,1066,1120
MSME007,2024-11,1672893.98,1165,1329
